Pais,Departamento,Municipio
Colombia,Cundinamarca,Tibirita
Colombia,Cundinamarca,Tocaima
Colombia,Cundinamarca,Tocancipá
Colombia,Cundinamarca,Topaipí
Colombia,Cundinamarca,Ubalá
Colombia,Cundinamarca,Ubaque
Colombia,Cundinamarca,Villa De San Diego De Ubaté
Colombia,Cundinamarca,Une
Colombia,Cundinamarca,Útica
Colombia,Cundinamarca,Vergara
Colombia,Cundinamarca,Vianí
Colombia,Cundinamarca,Villagómez
Colombia,Cundinamarca,Villapinzón
Colombia,Cundinamarca,Villeta
Colombia,Cundinamarca,Viotá
Colombia,Cundinamarca,Yacopí
Colombia,Cundinamarca,Zipacón
Colombia,Cundinamarca,Zipaquirá
Colombia,Chocó,Quibdó
Colombia,Chocó,Acandí
Colombia,Chocó,Alto Baudó
Colombia,Chocó,Atrato
Colombia,Chocó,Bagadó
Colombia,Chocó,Bahía Solano
Colombia,Chocó,Bajo Baudó
Colombia,Chocó,Bojayá
Colombia,Chocó,El Cantón Del San Pablo
Colombia,Chocó,Carmen Del Darién
Colombia,Chocó,Cértegui
Colombia,Chocó,Condoto
Colombia,Chocó,El Carmen De Atrato
Colombia,Chocó,El Litoral Del San Juan
Colombia,Chocó,Istmina
Colombia,Chocó,Juradó
Colombia,Chocó,Lloró
Colombia,Chocó,Medio Atrato
Colombia,Chocó,Medio Baudó
Colombia,Chocó,Medio San Juan
Colombia,Chocó,Nóvita
Colombia,Chocó,Nuquí
Colombia,Chocó,Río Iró
Colombia,Chocó,Río Quito
Colombia,Chocó,Riosucio
Colombia,Chocó,San José Del Palmar
Colombia,Chocó,Sipí
Colombia,Chocó,Tadó
Colombia,Chocó,Unguía
Colombia,Chocó,Unión Panamericana
Colombia,Huila,Neiva
Colombia,Huila,Acevedo
Colombia,Huila,Agrado
Colombia,Huila,Aipe
Colombia,Huila,Algeciras
Colombia,Huila,Altamira
Colombia,Huila,Baraya
Colombia,Huila,Campoalegre
Colombia,Huila,Colombia
Colombia,Huila,Elías
Colombia,Huila,Garzón
Colombia,Huila,Gigante
Colombia,Huila,Guadalupe
Colombia,Huila,Hobo
Colombia,Huila,Íquira
Colombia,Huila,Isnos
Colombia,Huila,La Argentina
Colombia,Huila,La Plata
Colombia,Huila,Nátaga
Colombia,Huila,Oporapa
Colombia,Huila,Paicol
Colombia,Huila,Palermo
Colombia,Huila,Palestina
Colombia,Huila,Pital
Colombia,Huila,Pitalito
Colombia,Huila,Rivera
Colombia,Huila,Saladoblanco
Colombia,Huila,San Agustín
Colombia,Huila,Santa María
Colombia,Huila,Suaza
Colombia,Huila,Tarqui
Colombia,Huila,Tesalia
Colombia,Huila,Tello
Colombia,Huila,Teruel
Colombia,Huila,Timaná
Colombia,Huila,Villavieja
Colombia,Huila,Yaguará
Colombia,La Guajira,Riohacha
Colombia,La Guajira,Albania
Colombia,La Guajira,Barrancas
Colombia,La Guajira,Dibulla
Colombia,La Guajira,Distracción
Colombia,La Guajira,El Molino
Colombia,La Guajira,Fonseca
Colombia,La Guajira,Hatonuevo
Colombia,La Guajira,La Jagua Del Pilar
Colombia,La Guajira,Maicao
Colombia,La Guajira,Manaure
Colombia,La Guajira,San Juan Del Cesar
Colombia,La Guajira,Uribia
Colombia,La Guajira,Urumita
Colombia,La Guajira,Villanueva
Colombia,Magdalena,Santa Marta
Colombia,Magdalena,Algarrobo
Colombia,Magdalena,Aracataca
Colombia,Magdalena,Ariguaní
Colombia,Magdalena,Cerro De San Antonio
Colombia,Magdalena,Chivolo
Colombia,Magdalena,Ciénaga
Colombia,Magdalena,Concordia
Colombia,Magdalena,El Banco
Colombia,Magdalena,El Piñón
Colombia,Magdalena,El Retén
Colombia,Magdalena,Fundación
Colombia,Magdalena,Guamal
Colombia,Magdalena,Nueva Granada
Colombia,Magdalena,Pedraza
